peduc,age,labor,tenure,agegrp,tenuregrp,college,working,wage
college,34,.91699404,5,30-39,4-7,yes,yes,22
college,28,-3.3994687,1,20-29,0-3,no,no,15.91
college,42,3.6382763,8,40-49,8 up,no,yes,20.17
high school or equivalent,49,.23356742,5,40-49,4-7,no,yes,26.16
graduate,39,1.8217119,7,30-39,4-7,no,yes,14.58
high school or equivalent,22,-1.4915003,0,20-29,0-3,no,no,14.65
graduate,55,1.3523997,8,50-59,8 up,no,yes,19.29
college,53,-.052421652,6,50-59,4-7,yes,yes,25.46
college,37,.9022283,5,30-39,4-7,no,yes,16.98
college,44,-2.1683168,3,40-49,0-3,yes,yes,22.38
college,42,2.2475204,7,40-49,4-7,yes,yes,27.27
high school or equivalent,38,1.176953,4,30-39,4-7,yes,yes,24.95
college,37,3.943954,8,30-39,8 up,no,yes,17.72
college,37,2.8472047,7,30-39,4-7,no,yes,18.86
college,49,1.8933816,7,40-49,4-7,yes,yes,30.6
college,52,3.2332931,9,50-59,8 up,no,yes,17.86
high school or equivalent,73,-1.4839754,5,60 up,4-7,no,no,19.02
college,25,3.0026014,5,20-29,4-7,no,no,18.53
graduate,52,.52680123,7,50-59,4-7,yes,yes,30.32
college,45,1.2439797,6,40-49,4-7,yes,yes,25.82
high school or equivalent,45,-.42346281,4,40-49,4-7,no,yes,20.66
graduate,65,-.15333085,8,60 up,8 up,yes,yes,34.55
high school or equivalent,50,.11317103,5,50-59,4-7,no,yes,20.87
college,44,.19999929,5,40-49,4-7,no,yes,18.65
graduate,46,-.2786023,6,40-49,4-7,yes,yes,26.5
college,20,-.35446337,0,20-29,0-3,yes,yes,11.83
high school or equivalent,41,-1.0944802,3,40-49,0-3,no,yes,19.09
college,45,2.2468038,7,40-49,4-7,no,yes,16.97
college,36,.66070169,5,30-39,4-7,no,yes,16.46
college,35,3.850136,8,30-39,8 up,no,yes,19.54
high school or equivalent,41,.23306705,4,40-49,4-7,yes,yes,23.64
college,59,-2.7323015,4,50-59,4-7,yes,yes,28.22
college,50,-1.0099663,4,50-59,4-7,yes,yes,27.02
college,39,-1.3506045,3,30-39,0-3,no,yes,13.8
graduate,65,1.3006377,9,60 up,8 up,yes,yes,32.4
college,49,-.40708151,5,40-49,4-7,no,yes,21.05
high school or equivalent,68,1.0923747,7,60 up,4-7,no,no,21.54
college,23,.39711949,3,20-29,0-3,no,no,15.39
college,48,-2.0275159,3,40-49,0-3,no,no,18.56
college,52,1.7192644,7,50-59,4-7,no,yes,21.4
college,28,-.65012079,3,20-29,0-3,yes,yes,22.12
high school or equivalent,36,.68514496,4,30-39,4-7,no,yes,18.2
college,69,-1.9925027,5,60 up,4-7,no,no,18.77
college,39,-.15719663,4,30-39,4-7,no,no,16.6
college,38,1.8373436,6,30-39,4-7,yes,yes,31.36
graduate,26,-.32593468,4,20-29,4-7,no,yes,16.94
high school or equivalent,21,1.4497018,1,20-29,0-3,no,yes,17.44
college,45,.64258504,6,40-49,4-7,no,yes,19.02
high school or equivalent,52,.62627935,5,50-59,4-7,no,yes,20.48
college,40,-1.4079378,3,40-49,0-3,no,yes,17.71
college,53,.048662387,6,50-59,4-7,no,yes,21.33
high school or equivalent,40,-2.5135424,1,40-49,0-3,no,no,14.4
high school or equivalent,28,1.3467962,4,20-29,4-7,no,yes,14.03
graduate,33,-.40056264,4,30-39,4-7,yes,yes,25.15
high school or equivalent,22,-2.9046652,0,20-29,0-3,no,yes,15.64
graduate,44,-.11264823,6,40-49,4-7,no,no,21.22
high school or equivalent,25,-1.0775189,1,20-29,0-3,yes,yes,24.19
college,51,1.2644079,7,50-59,4-7,no,yes,16.56
college,43,-1.4179392,3,40-49,0-3,yes,yes,24.91
college,21,-.61103505,1,20-29,0-3,no,yes,10.21
high school or equivalent,28,-1.8499498,0,20-29,0-3,no,yes,16.37
high school or equivalent,67,.082406484,6,60 up,4-7,yes,yes,36.23
high school or equivalent,72,-1.4598919,5,60 up,4-7,no,no,19.84
graduate,39,4.5103636,10,30-39,8 up,yes,yes,27.91
college,63,1.8756144,9,60 up,8 up,no,no,19.32
college,43,-1.6999928,3,40-49,0-3,no,yes,16.9
college,45,1.1627724,6,40-49,4-7,yes,yes,22.68
high school or equivalent,42,3.7200603,7,40-49,4-7,no,yes,21.66
graduate,27,.36256528,5,20-29,4-7,yes,yes,20.96
high school or equivalent,33,.037212878,3,30-39,0-3,no,yes,21.19
college,21,2.8387377,1,20-29,0-3,no,no,16.21
high school or equivalent,51,2.714757,7,50-59,4-7,no,yes,28.17
high school or equivalent,40,1.3366492,5,40-49,4-7,yes,yes,32.03
college,43,-2.6276791,2,40-49,0-3,no,yes,19.67
college,29,-.51181227,3,20-29,0-3,no,no,17.2
college,39,-.62608898,4,30-39,4-7,yes,yes,28.27
high school or equivalent,49,.78193134,5,40-49,4-7,no,yes,16.13
college,32,.55482656,4,30-39,4-7,no,yes,19.46
high school or equivalent,37,2.3482096,6,30-39,4-7,no,yes,20.53
graduate,20,.57926232,0,20-29,0-3,yes,yes,18.4
high school or equivalent,29,1.1853395,4,20-29,4-7,no,yes,15.58
college,22,-.59098059,2,20-29,0-3,yes,yes,18.23
high school or equivalent,40,2.5113015,6,40-49,4-7,no,yes,20.89
college,53,-.68684024,5,50-59,4-7,no,yes,18.71
high school or equivalent,36,3.7881832,7,30-39,4-7,no,yes,22.43
high school or equivalent,58,-.41613346,5,50-59,4-7,no,yes,21.88
college,36,.67915362,5,30-39,4-7,no,yes,15.75
college,34,-2.7048073,1,30-39,0-3,yes,yes,22.65
college,23,2.0794439,3,20-29,0-3,yes,yes,19.13
high school or equivalent,50,3.2038572,8,50-59,8 up,no,yes,21.04
college,47,2.4211297,8,40-49,8 up,yes,yes,31.48
college,58,-.11340292,6,50-59,4-7,no,yes,17.22
high school or equivalent,33,-.14261843,3,30-39,0-3,no,yes,12.99
college,39,-2.5068963,2,30-39,0-3,yes,yes,21.85
college,46,2.0605969,7,40-49,4-7,no,yes,20.38
college,46,1.1741303,6,40-49,4-7,no,yes,19.1
college,21,.091353424,1,20-29,0-3,no,yes,19.37
graduate,29,-1.2466661,3,20-29,0-3,yes,yes,21.01
college,72,3.4628515,11,60 up,8 up,yes,yes,34.37
high school or equivalent,37,1.192078,4,30-39,4-7,no,yes,19.61
graduate,28,3.8580794,8,20-29,8 up,no,yes,12.74
graduate,42,-1.9488118,4,40-49,4-7,yes,yes,33.56
high school or equivalent,64,-2.8195252,3,60 up,0-3,yes,yes,28.55
graduate,28,-.51938921,4,20-29,4-7,no,yes,17.91
college,48,-.54924852,5,40-49,4-7,yes,yes,28.53
graduate,36,-1.8814428,3,30-39,0-3,yes,yes,23.11
high school or equivalent,47,-.33613575,4,40-49,4-7,no,yes,23.6
college,58,1.2038141,8,50-59,8 up,no,yes,19.84
college,57,-.63552654,6,50-59,4-7,yes,yes,34.45
college,41,-.11732776,4,40-49,4-7,no,no,14.24
high school or equivalent,55,-1.4815416,4,50-59,4-7,no,yes,21.92
high school or equivalent,66,-1.9030306,4,60 up,4-7,no,no,18.5
high school or equivalent,22,.011509382,2,20-29,0-3,no,yes,18.86
graduate,40,1.0068599,7,40-49,4-7,yes,yes,29.37
high school or equivalent,56,-1.40374,4,50-59,4-7,no,yes,18.87
high school or equivalent,37,-.63895619,3,30-39,0-3,no,yes,18.83
college,53,-1.0044683,5,50-59,4-7,no,yes,20.53
graduate,69,.43091342,9,60 up,8 up,no,no,22.53
graduate,29,-.79999554,4,20-29,4-7,yes,yes,19.3
college,35,.45399284,4,30-39,4-7,no,yes,20.07
doctorate,59,-1.5269786,7,50-59,4-7,yes,yes,25.7
college,38,2.8410089,7,30-39,4-7,yes,yes,29.52
college,44,4.8502421,10,40-49,8 up,no,yes,23.32
college,25,-3.360224,1,20-29,0-3,yes,yes,17.74
high school or equivalent,61,2.5311191,8,60 up,8 up,no,yes,20.38
high school or equivalent,50,-3.0123451,1,50-59,0-3,no,no,17.61
college,43,-1.2032417,4,40-49,4-7,no,yes,20.86
college,58,1.6616477,8,50-59,8 up,yes,yes,30.74
college,37,-3.0365787,1,30-39,0-3,yes,yes,26.66
college,60,-2.7539468,4,60 up,4-7,no,no,18.5
college,25,.67490673,4,20-29,4-7,no,no,12.63
high school or equivalent,58,.47929183,6,50-59,4-7,no,yes,22.94
high school or equivalent,56,.59600723,6,50-59,4-7,no,yes,19.61
graduate,33,3.1801879,8,30-39,8 up,yes,yes,27.39
college,66,4.5139747,12,60 up,8 up,no,yes,23.6
college,47,-.88512635,4,40-49,4-7,yes,yes,27.78
college,60,-1.6051608,5,60 up,4-7,yes,yes,32.06
high school or equivalent,43,-1.8287637,2,40-49,0-3,no,no,14.56
graduate,70,3.4643552,12,60 up,8 up,yes,yes,32.63
high school or equivalent,69,-.059971571,6,60 up,4-7,no,no,19.53
high school or equivalent,40,-2.8039041,1,40-49,0-3,no,no,16.79
graduate,33,-4.2410913,2,30-39,0-3,no,yes,14.48
college,49,3.8028357,9,40-49,8 up,no,yes,19.34
high school or equivalent,33,1.923354,5,30-39,4-7,no,yes,14.12
high school or equivalent,42,.84775108,5,40-49,4-7,yes,yes,26.17
high school or equivalent,56,-1.3684186,4,50-59,4-7,no,no,18.3
doctorate,20,-1.3092067,0,20-29,0-3,yes,yes,18.81
college,36,3.3827639,7,30-39,4-7,no,yes,19.63
high school or equivalent,54,1.744725,7,50-59,4-7,no,yes,21.99
high school or equivalent,20,-2.2147655,0,20-29,0-3,no,no,15.52
college,30,.30545852,4,30-39,4-7,no,no,13.32
high school or equivalent,29,.54638267,3,20-29,0-3,no,yes,16.1
college,49,2.0919721,7,40-49,4-7,no,yes,16.57
graduate,25,2.1361835,5,20-29,4-7,yes,yes,16.94
college,71,2.8553796,10,60 up,8 up,no,no,14.91
college,40,.77400154,5,40-49,4-7,yes,yes,21.57
college,52,.96444327,7,50-59,4-7,yes,yes,32.63
college,57,.10660826,6,50-59,4-7,no,no,14.9
college,30,-1.7471952,2,30-39,0-3,no,no,15.54
college,48,-1.9059826,3,40-49,0-3,no,yes,19.97
college,39,1.4562235,6,30-39,4-7,no,yes,14.81
graduate,73,-2.1007893,7,60 up,4-7,yes,no,28.2
high school or equivalent,38,-1.0356064,2,30-39,0-3,no,yes,16.51
college,47,-1.8015363,3,40-49,0-3,no,yes,21.06
college,24,2.5732632,4,20-29,4-7,yes,yes,21.28
college,54,.77052921,7,50-59,4-7,yes,yes,31.4
college,67,-3.1376462,4,60 up,4-7,no,no,19.68
college,29,-2.8801336,1,20-29,0-3,yes,yes,20.28
high school or equivalent,62,-.75057662,5,60 up,4-7,yes,yes,31.21
college,71,-1.3795109,6,60 up,4-7,no,yes,19.6
college,57,1.2461393,7,50-59,4-7,no,yes,16.22
graduate,47,-2.3931563,4,40-49,4-7,no,no,17.33
college,36,.70459712,5,30-39,4-7,no,yes,17.26
college,30,-1.216204,2,30-39,0-3,no,no,13.75
college,62,-.51332563,6,60 up,4-7,yes,yes,31.61
high school or equivalent,33,1.633894,4,30-39,4-7,no,yes,16.94
college,20,1.8039784,0,20-29,0-3,no,no,10.78
graduate,23,3.0447617,3,20-29,0-3,yes,yes,21.06
college,45,-2.5391331,2,40-49,0-3,no,no,11.85
high school or equivalent,53,-2.0797601,3,50-59,0-3,no,yes,17.57
graduate,55,2.100956,9,50-59,8 up,yes,yes,27.07
college,48,-2.1938996,3,40-49,0-3,yes,yes,26.57
college,69,.1770004,8,60 up,8 up,no,no,24.06
college,48,-2.0055797,3,40-49,0-3,no,yes,18.76
college,45,2.9182668,8,40-49,8 up,yes,yes,27.82
high school or equivalent,30,-1.1777689,1,30-39,0-3,no,yes,14.06
college,53,-3.3803289,2,50-59,0-3,yes,yes,26.19
high school or equivalent,20,-1.1154885,0,20-29,0-3,no,yes,13.53
college,46,1.3802197,6,40-49,4-7,no,yes,17.51
graduate,68,-1.7830405,7,60 up,4-7,yes,no,29.74
high school or equivalent,41,1.1748183,5,40-49,4-7,no,yes,19.38
college,37,-2.5080285,2,30-39,0-3,yes,yes,22.51
graduate,20,-.52396601,0,20-29,0-3,yes,yes,15.71
high school or equivalent,55,4.1389689,9,50-59,8 up,no,yes,23.37
college,50,.071306869,6,50-59,4-7,no,yes,16.77
college,37,.40646723,5,30-39,4-7,no,yes,18.08
high school or equivalent,42,-.23999101,3,40-49,0-3,no,yes,20.13
high school or equivalent,42,-1.2102276,2,40-49,0-3,no,no,13.29
high school or equivalent,55,2.2426107,7,50-59,4-7,no,yes,21.27
college,26,3.6233425,6,20-29,4-7,no,no,13.86
college,61,-1.1026464,5,60 up,4-7,yes,no,31.88
high school or equivalent,21,1.2622254,1,20-29,0-3,yes,yes,18.41
college,42,2.2471075,7,40-49,4-7,no,yes,23.28
high school or equivalent,34,-3.0253637,0,30-39,0-3,no,yes,18.93
high school or equivalent,58,-.051640928,5,50-59,4-7,no,yes,19.35
high school or equivalent,44,-2.184665,2,40-49,0-3,no,yes,14.54
college,45,-4.1237612,1,40-49,0-3,no,yes,17.62
college,25,1.5012956,5,20-29,4-7,no,yes,17.7
college,51,-.11412592,5,50-59,4-7,yes,yes,31.4
college,71,-.70176709,7,60 up,4-7,no,no,21.61
college,21,-2.4991863,1,20-29,0-3,yes,yes,18.83
college,50,-.64155489,5,50-59,4-7,yes,yes,26.98
college,61,-3.0901976,4,60 up,4-7,no,no,19.57
college,24,.31993002,3,20-29,0-3,no,no,13.73
graduate,42,-.17400129,6,40-49,4-7,yes,yes,27.73
high school or equivalent,45,-4.444438,0,40-49,0-3,no,yes,16.71
college,67,5.1792979,12,60 up,8 up,yes,yes,33.64
college,50,1.8043028,7,50-59,4-7,yes,yes,27.59
high school or equivalent,24,-4.3968067,0,20-29,0-3,no,no,15.73
graduate,31,-1.2725593,3,30-39,0-3,no,yes,11.24
college,21,2.6106915,1,20-29,0-3,no,yes,16.38
college,60,1.6711221,8,60 up,8 up,no,yes,16.68
high school or equivalent,71,-2.8703983,4,60 up,4-7,no,no,21.36
high school or equivalent,33,-4.3360305,0,30-39,0-3,no,no,13.23
high school or equivalent,32,-2.5706975,0,30-39,0-3,no,yes,15
high school or equivalent,59,3.016223,8,50-59,8 up,no,yes,22.47
graduate,34,3.2946322,8,30-39,8 up,no,yes,18.41
college,49,-1.3928622,4,40-49,4-7,yes,yes,27.5
high school or equivalent,21,-3.5240567,0,20-29,0-3,no,no,12.48
college,43,-.31242317,4,40-49,4-7,yes,yes,28.07
high school or equivalent,40,2.7793865,6,40-49,4-7,no,yes,22.11
college,26,5.7823138,6,20-29,4-7,yes,yes,22.34
college,48,.75642252,6,40-49,4-7,no,yes,21.78
high school or equivalent,48,1.1104138,5,40-49,4-7,no,yes,20.39
graduate,20,.57411486,0,20-29,0-3,no,no,7.36
high school or equivalent,71,.36513495,7,60 up,4-7,no,no,19.13
college,24,1.5423119,4,20-29,4-7,yes,yes,15.3
high school or equivalent,53,1.852348,7,50-59,4-7,no,no,14.61
high school or equivalent,35,-.48961875,3,30-39,0-3,no,yes,19.61
high school or equivalent,42,.20338659,4,40-49,4-7,no,yes,15.8
high school or equivalent,33,1.5006803,4,30-39,4-7,yes,yes,25.36
college,62,.036693607,7,60 up,4-7,yes,yes,32.4
high school or equivalent,20,-.23870559,0,20-29,0-3,no,no,15.13
high school or equivalent,29,-1.0835714,1,20-29,0-3,no,yes,17.21
graduate,41,1.4515927,7,40-49,4-7,no,yes,17.65
college,25,-.68732005,2,20-29,0-3,no,no,13.33
college,32,2.8459601,7,30-39,4-7,no,yes,18.66
college,30,1.5314018,5,30-39,4-7,no,yes,21.04
doctorate,59,-1.2540215,7,50-59,4-7,yes,yes,33.78
college,22,-2.2236581,1,20-29,0-3,yes,yes,17.66
high school or equivalent,35,-6.5627337,0,30-39,0-3,no,no,16.78
college,61,-2.7098477,4,60 up,4-7,no,no,17.26
college,48,-2.9769878,2,40-49,0-3,yes,yes,29.39
graduate,26,-2.4234738,2,20-29,0-3,yes,yes,21.18
graduate,42,1.6665434,7,40-49,4-7,yes,yes,24.96
college,46,1.8820568,7,40-49,4-7,no,yes,20.8
college,22,-.33590233,2,20-29,0-3,no,no,14.4
graduate,44,-.33045414,6,40-49,4-7,yes,yes,28.39
graduate,40,2.6656799,8,40-49,8 up,no,yes,18.72
college,36,-.92474204,3,30-39,0-3,yes,yes,25.16
graduate,26,-.37839028,4,20-29,4-7,no,no,12.74
college,40,-.45605737,4,40-49,4-7,no,yes,18.19
high school or equivalent,36,2.8241432,6,30-39,4-7,no,yes,19.61
high school or equivalent,29,-1.7412447,1,20-29,0-3,no,no,8.5
high school or equivalent,46,.73637539,5,40-49,4-7,yes,yes,27.81
high school or equivalent,61,-.1279995,5,60 up,4-7,no,yes,19.25
high school or equivalent,21,-2.8710451,0,20-29,0-3,no,no,11.09
high school or equivalent,28,1.8676994,4,20-29,4-7,no,yes,17.73
college,26,-1.2345723,2,20-29,0-3,no,yes,16.96
high school or equivalent,21,1.3349615,1,20-29,0-3,no,yes,17.69
high school or equivalent,22,2.0061126,2,20-29,0-3,no,no,11.7
high school or equivalent,22,1.8122947,2,20-29,0-3,no,yes,15.09
high school or equivalent,40,.43094096,4,40-49,4-7,no,yes,18.55
college,20,-3.6470904,0,20-29,0-3,yes,no,13.16
college,27,-.13481192,3,20-29,0-3,yes,yes,17.68
college,27,.6693427,4,20-29,4-7,yes,yes,18.66
college,55,.39600661,6,50-59,4-7,yes,yes,28.76
college,38,-.66444039,4,30-39,4-7,no,yes,16.12
high school or equivalent,44,.057140809,4,40-49,4-7,no,yes,18.91
doctorate,43,-1.2187831,6,40-49,4-7,yes,yes,25.02
high school or equivalent,49,-.75246108,4,40-49,4-7,no,yes,18.77
high school or equivalent,31,-2.1471066,0,30-39,0-3,no,yes,18.58
high school or equivalent,38,1.1687286,4,30-39,4-7,yes,yes,26.55
graduate,26,-2.049742,2,20-29,0-3,yes,yes,17.21
college,46,1.2473865,6,40-49,4-7,no,yes,19.94
college,36,-1.433794,3,30-39,0-3,yes,no,17.18
college,50,2.1507778,8,50-59,8 up,yes,yes,28.53
high school or equivalent,32,-.22549853,2,30-39,0-3,yes,yes,24.1
high school or equivalent,38,-1.7031937,2,30-39,0-3,no,yes,20.31
graduate,34,.14017735,5,30-39,4-7,no,yes,16.17
graduate,22,-2.2743094,2,20-29,0-3,yes,yes,13.58
high school or equivalent,45,4.4347291,8,40-49,8 up,yes,yes,30.97
college,61,.4936398,7,60 up,4-7,no,yes,21.37
college,46,-.26760629,5,40-49,4-7,no,no,19.48
college,46,4.1750107,9,40-49,8 up,no,yes,21.85
college,21,2.0050704,1,20-29,0-3,yes,yes,16.2
college,23,-1.5589815,1,20-29,0-3,yes,yes,19.67
high school or equivalent,38,-2.0149405,1,30-39,0-3,no,yes,19.18
college,24,.19622506,3,20-29,0-3,no,no,12.87
college,74,.20769632,8,60 up,8 up,no,no,21.58
college,44,-4.0931354,1,40-49,0-3,yes,yes,25.71
high school or equivalent,48,2.1541071,6,40-49,4-7,no,yes,17.5
college,23,2.1221738,3,20-29,0-3,no,yes,16.65
doctorate,32,-.95718771,5,30-39,4-7,no,no,16.07
high school or equivalent,67,-3.0105932,3,60 up,0-3,no,no,18.09
high school or equivalent,49,4.2924557,9,40-49,8 up,no,yes,16.76
college,69,3.8335636,11,60 up,8 up,no,yes,21.53
college,34,-2.4508445,1,30-39,0-3,no,no,13.25
high school or equivalent,21,-.15760706,1,20-29,0-3,no,no,16.15
high school or equivalent,39,-1.3766137,2,30-39,0-3,no,yes,18.14
college,20,-.4371877,0,20-29,0-3,yes,yes,19.34
graduate,62,1.1742988,9,60 up,8 up,no,yes,20.9
high school or equivalent,46,-4.3061819,0,40-49,0-3,no,no,17.01
college,21,-2.2601867,1,20-29,0-3,no,no,10.33
college,45,.37785232,5,40-49,4-7,no,yes,18.88
high school or equivalent,29,.25139165,3,20-29,0-3,no,no,16.54
graduate,50,2.219023,9,50-59,8 up,yes,yes,31.83
college,46,-1.6693703,3,40-49,0-3,no,yes,16.5
college,44,.15383725,5,40-49,4-7,no,yes,17.15
college,43,-.25840899,5,40-49,4-7,no,yes,13.21
college,54,-1.5403259,4,50-59,4-7,no,no,19
graduate,49,.9134289,7,40-49,4-7,no,yes,16.48
doctorate,24,-3.0816,3,20-29,0-3,yes,no,17.83
graduate,26,.12462019,4,20-29,4-7,yes,yes,17.52
college,34,.67975503,5,30-39,4-7,no,yes,17.9
college,54,-.23231982,6,50-59,4-7,yes,yes,27.23
high school or equivalent,20,1.2252783,0,20-29,0-3,no,yes,11.15
graduate,24,1.6491323,4,20-29,4-7,no,yes,18.28
college,62,.71953708,7,60 up,4-7,yes,yes,30.98
high school or equivalent,49,3.4803877,8,40-49,8 up,yes,yes,33.43
graduate,22,-3.1521361,2,20-29,0-3,no,no,11.63
high school or equivalent,26,-2.8059955,0,20-29,0-3,yes,yes,19.16
high school or equivalent,52,3.5665181,8,50-59,8 up,no,yes,19.93
graduate,27,-2.2776449,2,20-29,0-3,yes,yes,18.26
high school or equivalent,72,.19271325,7,60 up,4-7,no,no,17.43
college,49,1.1009699,7,40-49,4-7,yes,yes,32.46
high school or equivalent,28,-.37213013,2,20-29,0-3,yes,yes,21.64
high school or equivalent,60,2.5611086,8,60 up,8 up,no,yes,18.78
college,46,.050680976,5,40-49,4-7,no,yes,15.37
high school or equivalent,74,-1.2780768,6,60 up,4-7,no,no,19.88
college,36,-2.6408744,1,30-39,0-3,no,yes,15.31
college,36,3.1618602,7,30-39,4-7,yes,yes,24.6
college,45,-3.8325965,1,40-49,0-3,yes,yes,28.64
high school or equivalent,35,1.0113467,4,30-39,4-7,no,yes,21.49
graduate,32,.50653774,5,30-39,4-7,yes,yes,20.22
college,55,-2.1826093,4,50-59,4-7,yes,yes,30.7
college,25,1.5768279,5,20-29,4-7,yes,no,17.76
college,59,-.57134211,6,50-59,4-7,yes,no,28.15
high school or equivalent,22,-.38970572,1,20-29,0-3,no,no,16.14
graduate,35,-3.7744181,2,30-39,0-3,yes,yes,24.9
college,69,2.0319805,9,60 up,8 up,no,yes,21.56
graduate,55,-5.8318377,2,50-59,0-3,yes,yes,28.24
graduate,58,-1.2098289,6,50-59,4-7,yes,yes,25.64
college,66,-1.9307972,5,60 up,4-7,no,yes,17.68
high school or equivalent,62,2.0350535,8,60 up,8 up,yes,yes,33.48
high school or equivalent,46,-1.3225504,3,40-49,0-3,no,yes,21.93
high school or equivalent,43,.37104639,4,40-49,4-7,no,yes,17.46
graduate,70,-2.9395406,6,60 up,4-7,no,no,18.53
high school or equivalent,22,1.0289893,2,20-29,0-3,no,no,17.42
high school or equivalent,28,.54458165,3,20-29,0-3,no,yes,14.35
college,41,-3.8327,1,40-49,0-3,no,yes,13.43
college,55,-.15906352,6,50-59,4-7,no,yes,19.72
college,41,-1.1188145,3,40-49,0-3,no,yes,21
graduate,25,-3.7826321,1,20-29,0-3,yes,yes,16.19
graduate,35,-1.1851681,4,30-39,4-7,no,yes,19.47
college,40,3.0841284,8,40-49,8 up,no,yes,15.85
high school or equivalent,35,-.40475431,3,30-39,0-3,yes,yes,25.14
college,54,.028479539,6,50-59,4-7,yes,yes,28.12
college,24,.095302358,3,20-29,0-3,no,yes,15.96
college,24,4.6852384,4,20-29,4-7,no,yes,13.17
college,49,-1.2881526,4,40-49,4-7,no,yes,19.84
college,25,1.1892447,4,20-29,4-7,no,no,15.99
college,41,-2.8468091,2,40-49,0-3,no,no,14.65
high school or equivalent,21,-3.1773469,0,20-29,0-3,no,no,13.25
high school or equivalent,40,-.96742094,3,40-49,0-3,no,no,15.29
college,28,-3.4178658,1,20-29,0-3,no,yes,16.6
graduate,48,-2.5320885,4,40-49,4-7,yes,yes,28
college,38,-.35560918,4,30-39,4-7,no,yes,16.24
graduate,55,-.85799301,6,50-59,4-7,yes,yes,31.1
college,53,-.43912977,5,50-59,4-7,yes,yes,30.14
graduate,42,1.1421276,7,40-49,4-7,yes,yes,27.58
high school or equivalent,43,-1.0897381,3,40-49,0-3,no,yes,20.07
college,30,-4.0306635,0,30-39,0-3,no,no,11.54
high school or equivalent,32,.011488414,3,30-39,0-3,no,yes,17.8
college,25,1.027897,4,20-29,4-7,no,yes,14.74
college,49,1.3336264,7,40-49,4-7,no,yes,20.46
high school or equivalent,43,-2.1568689,2,40-49,0-3,no,yes,16.97
college,23,1.3969066,3,20-29,0-3,no,no,20.88
graduate,42,-1.2380778,4,40-49,4-7,yes,yes,29.49
graduate,29,.0029008847,4,20-29,4-7,no,yes,15.94
college,28,3.5971456,7,20-29,4-7,no,yes,20.25
college,23,-1.6614382,1,20-29,0-3,yes,no,17.07
college,66,-.89247125,6,60 up,4-7,no,no,20.23
high school or equivalent,32,.16533203,3,30-39,0-3,no,yes,15.91
high school or equivalent,30,1.1491059,4,30-39,4-7,no,no,19.33
high school or equivalent,22,-1.8310612,0,20-29,0-3,yes,yes,16.32
high school or equivalent,49,.62582451,5,40-49,4-7,no,yes,20.21
high school or equivalent,68,.5132935,7,60 up,4-7,no,yes,25.59
graduate,21,-.18396403,1,20-29,0-3,yes,yes,16.99
college,70,.60712522,8,60 up,8 up,yes,yes,31.28
doctorate,21,-2.6586149,1,20-29,0-3,yes,yes,14.52
high school or equivalent,58,1.9813638,7,50-59,4-7,no,yes,19.78
high school or equivalent,48,.14488523,4,40-49,4-7,no,yes,18.12
high school or equivalent,52,-.87633348,4,50-59,4-7,no,yes,20.74
high school or equivalent,34,-1.7250193,1,30-39,0-3,no,no,19.81
high school or equivalent,62,1.3087214,7,60 up,4-7,yes,yes,35.79
college,57,3.1708987,9,50-59,8 up,yes,no,29.26
college,32,-.3635897,3,30-39,0-3,yes,yes,23.87
high school or equivalent,67,-1.6591345,5,60 up,4-7,no,no,19.88
graduate,45,-1.1933671,5,40-49,4-7,no,yes,14.08
high school or equivalent,45,.97278684,5,40-49,4-7,no,yes,20.94
graduate,51,1.768151,8,50-59,8 up,no,yes,17.12
high school or equivalent,39,4.7727561,8,30-39,8 up,yes,yes,30.03
college,44,-.021717615,5,40-49,4-7,no,yes,18.66
college,20,-.28310281,0,20-29,0-3,no,no,12.87
college,20,1.7445982,0,20-29,0-3,yes,yes,14.78
graduate,20,1.4171145,0,20-29,0-3,yes,yes,14.33
college,56,1.6575009,8,50-59,8 up,yes,yes,29.42
high school or equivalent,54,.68322843,6,50-59,4-7,yes,yes,28.37
college,22,-1.6585206,1,20-29,0-3,yes,no,14.87
graduate,39,.14770207,6,30-39,4-7,no,no,18.15
college,32,-.13233791,4,30-39,4-7,yes,yes,19.45
doctorate,33,3.582906,9,30-39,8 up,yes,yes,27.61
graduate,40,-.88145012,5,40-49,4-7,yes,yes,28.34
college,64,1.0188711,8,60 up,8 up,no,yes,21.38
college,45,1.8768482,7,40-49,4-7,yes,yes,27.34
college,32,.9936313,5,30-39,4-7,no,yes,18.67
college,27,-.72468573,2,20-29,0-3,yes,yes,21.59
college,62,-2.0234158,5,60 up,4-7,no,no,17.28
graduate,41,-1.3519633,4,40-49,4-7,no,yes,22.39
college,61,1.7659039,8,60 up,8 up,yes,yes,27.19
graduate,31,.50047809,5,30-39,4-7,no,no,18.67
graduate,25,-.28349879,4,20-29,4-7,yes,yes,19.82
college,58,.23728298,7,50-59,4-7,yes,yes,30.57
graduate,46,-2.3227181,4,40-49,4-7,yes,yes,26.76
high school or equivalent,64,1.3024436,7,60 up,4-7,no,no,18.94
college,51,.51170695,6,50-59,4-7,yes,yes,31.44
high school or equivalent,22,-2.7692599,0,20-29,0-3,yes,yes,17.86
high school or equivalent,30,-.86087704,2,30-39,0-3,no,no,15.17
graduate,23,2.1649606,3,20-29,0-3,yes,no,16.2
college,24,.094640628,3,20-29,0-3,yes,yes,18.05
high school or equivalent,66,-3.0451584,3,60 up,0-3,no,yes,20.79
